Location,LOC_SHORT
Ashland Bottoms,AB
Belleville ,BE
Belleville Optimum,BE.O
Belleville Soybeans,BE.S
Colby,THD
Decatur,DCD
Garden City,GC
Great Bend,GB
Hays,HAYS
Hoisington,HOI
Hutchinson 1,HUT1
Hutchinson 2,HUT2
Hutchinson Early,HUT.E
Hutchinson Late,HUT.L
Hutchinson Optimum,HUT.O
Hutchinson Optimum 17,HUT17
Hutchinson optimum 23B,HUT23
Junction City,JC
Leoti,LEO
Manhattan,MNH
Manhattan Late,MNH.L
Mitchell,MCD
Phillipsburg,PHG
Salina,SL
Solomon Cover Crop,SO.CC
Solomon Soybeans,SO.S
Solomon Winter Wheat,SO.WW
Clearwaer,CLW
Caldwell,CDL
Parsons,PRS
McPherson,MCP
Hutchinson23BE,HUT.23BE
Hutchinson23BO,HUT.23BO
